高等数学I1,2018-2019-1,135,大一上
大学英语III1,2018-2019-1,131,大一上
线性代数与解析几何II,2018-2019-1,111,大一上
大学物理实验I1,2018-2019-2,146,大一下
大学物理II1,2018-2019-2,140,大一下
高等数学I2,2018-2019-2,135,大一下
大学英语III2,2018-2019-2,130,大一下
程序设计基础,2018-2019-2,130,大一下
工程制图III,2018-2019-2,129,大一下
电路,2019-2020-1,168,大二上
概率统计与随机过程,2019-2020-1,162,大二上
数据结构与算法I,2019-2020-1,161,大二上
离散数学A,2019-2020-1,160,大二上
大学物理实验I2,2019-2020-1,160,大二上
数据结构与程序设计专题实验,2019-2020-1,160,大二上
面向对象程序设计,2019-2020-1,146,大二上
大学物理II2,2019-2020-1,145,大二上
模拟电子技术基础,2019-2020-2,167,大二下
形式语言与编译,2019-2020-2,165,大二下
电子技术实验1,2019-2020-2,164,大二下
编译器设计专题实验,2019-2020-2,164,大二下
电子技术实验2,2019-2020-2,163,大二下
数字逻辑电路,2019-2020-2,162,大二下
汇编语言,2019-2020-2,150,大二下
数学建模II,2019-2020-2,128,大二下
数理逻辑,2019-2020-2,114,大二下
计算机组成,2020-2021-1,166,大三上
操作系统原理I,2020-2021-1,166,大三上
计算机网络原理,2020-2021-1,166,大三上
操作系统设计专题实验,2020-2021-1,165,大三上
计算机组成与结构专题实验,2020-2021-1,162,大三上
人工智能,2020-2021-1,136,大三上
计算机图形学,2020-2021-1,130,大三上
数据库系统,2020-2021-2,163,大三下
计算机网络专题实验,2020-2021-2,162,大三下
软件工程,2020-2021-2,161,大三下
计算机系统综合设计实验,2020-2021-2,160,大三下
软件定义网络,2020-2021-2,134,大三下
专业实习II,2020-2021-3,164,大三小
kcm,xnxqdm,count,stage
